country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,4.5,6.5,6.5,6.5,6.5,6,7,7,7,7,,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,6,6,5.5,5,5,5,5.5,6,6,6,6,6,6,6,6,5.5,5.5
Albania,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,6.5,4,3.5,3,3.5,3.5,4,4,4.5,4.5,4.5,3.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Algeria,6,6,6,6.5,6,6,6,6,6,6,,6,6,6,6,6,5.5,5,4,4,6.5,6.5,7,6,6,6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Andorra,3.5,4,4,4,4,,,,,,,,,,,,,,,,,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,,,,6,6,7,7,7,7,7,,7,7,7,7,7,7,7,7,5,6,7,7,6,6,6,6,6,6,6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6,6,6,5.5
Antigua and Barbuda,,,,,,,,,,2,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,2,2,2,2,2,2.5,2.5,2.5,2,2,2,2,2,2,2
Argentina,4.5,2,3,3,5.5,6,5.5,5.5,5.5,5.5,,3,2,2,1.5,1.5,1.5,1.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,1.5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Armenia,,,,,,,,,,,,,,,,,,,,5,3.5,3.5,3.5,4,4.5,4.5,4,4,4,4,4,4,4.5,4.5,4.5,4.5,5,5,5,5,4.5,4.5,4.5,4.5,4.5,4.5,4
Australia,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Austria,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,5.5,5,5,5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6,6,6.5,6.5,6.5,6.5
Bahamas,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,2,2,2,2,2.5,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahrain,5.5,5.5,4,5,5,5,5,4.5,5,5,,5,5,5,5,5,5,5.5,5.5,5.5,5.5,6,6,6,6.5,6.5,6.5,6.5,6.5,5.5,5,5,5,5,5,5,5,5.5,5.5,6,6,6,6.5,6.5,6.5,6.5,6.5
Bangladesh,3,4,4,6,5.5,5,4,3,3.5,5,,5.5,5.5,5,4.5,4.5,4.5,4,5,2.5,2.5,3,3,3.5,3,3,3,3.5,3.5,3.5,4,4,4,4,4,4.5,4,3.5,3.5,3.5,3.5,3.5,4,4,4,4,5
Barbados,1,1,1,1,1,1,1,1,1,1,,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belarus,,,,,,,,,,,,,,,,,,,,4,3.5,4.5,4,5,6,6,6,6,6,6,6,6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6,6.5
Belgium,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Belize,,,,,,,,,,1.5,,1.5,1.5,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
